Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.04.17-05.00.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.09.24-18.44.20,6787,6328,6328,6787,6328,6328,6328,6328,6328,6328,6328,6328,6328,6328,6328
2025.09.25-04.50.26,6787,6332,6332,6787,6332,6332,6332,6332,6332,6332,6332,6332,6332,6332,6332
2025.09.25-18.22.05,6787,6702,6731,6787,6731,6729,6731,6730,6729,6701,6730,6729,6702,6730,6731
2025.09.30-14.09.03,6787,6787,6787,6787,6787,6787,6787,6787,6787,6701,6787,6787,6787,6787,6731
2025.10.01-05.40.53,6787,6787,6787,6787,6787,6787,6787,6787,6787,6714,6787,6787,6787,6787,6731
2025.10.01-11.02.27,6787,6787,6787,6787,6787,6787,6787,6787,6787,6714,6787,6787,6787,6787,6787
2025.10.07-18.10.50,6811,6787,6787,6811,6787,6787,6787,6787,6787,6714,6787,6787,6787,6787,6787
2025.10.13-15.53.41,6811,6811,6811,6811,6811,6811,6811,6811,6811,6738,6811,6811,6811,6811,6811
2025.10.13-17.51.52,6807,6792,6792,6792,6792,6792,6792,6792,6792,6719,6792,6792,6792,6792,6792
2025.10.13-21.35.01,6807,6807,6807,6807,6807,6807,6807,6807,6807,6734,6807,6807,6807,6807,6807
2025.10.14-17.54.04,6807,6805,6805,6805,6805,6805,6805,6805,6805,6732,6805,6805,6805,6805,6805
2025.10.15-04.47.30,6807,6807,6807,6807,6807,6807,6807,6807,6807,6734,6807,6807,6807,6807,6807
2025.10.16-09.23.48,6807,6807,6807,6807,6807,6807,6807,6807,6807,6807,6807,6807,6807,6807,6807
2025.11.19-19.29.59,6833,6807,6807,6833,6807,6807,6807,6807,6807,6807,6807,6807,6807,6807,6807
