Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.04.16,3907,0,0,3907,0,0,0,0,0,0,0,0,0,0,0
2025.08.29-17.01.35,3905,0,0,3905,0,0,0,0,0,0,0,0,0,0,0
2025.09.03-20.25.02,3957,0,0,3957,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.06.55,3957,55,55,3957,55,55,55,55,55,21,55,55,55,55,41
2025.09.05-18.17.05,3945,55,55,3945,55,55,55,55,55,21,55,55,55,55,41
2025.09.06-05.08.21,3957,55,55,3957,55,55,55,55,55,21,55,55,55,55,41
2025.09.10-18.08.19,3957,55,55,3957,55,55,55,55,55,3578,55,55,55,55,41
2025.09.11-18.39.22,3957,55,55,3957,55,55,55,55,55,3608,55,55,55,55,41
2025.09.14-13.59.06,3957,55,55,3957,55,55,55,55,55,3612,55,55,55,55,41
2025.09.15-18.23.44,3957,55,55,3957,55,55,55,55,55,3768,55,55,55,55,41
2025.09.16-03.42.58,3957,55,55,3957,55,55,55,55,55,3806,55,55,55,55,41
2025.09.17-18.24.39,3957,55,55,3957,55,55,55,55,55,3806,55,55,55,55,3957
2025.09.22-18.12.08,3957,55,55,3957,55,55,55,55,55,3957,55,55,55,55,3957
2025.09.23-17.09.57,3957,3942,3942,3957,3942,3942,3942,3942,3942,3957,3942,3942,3942,3942,3957
2025.09.24-18.44.56,4128,3930,3930,4124,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930
2025.09.25-04.51.03,4128,3930,3930,4128,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930
2025.09.30-14.09.31,4128,4128,4128,4128,4128,4128,4128,4128,4128,3930,4128,4128,4128,4128,3930
2025.10.01-05.41.19,4128,4128,4128,4128,4128,4128,4128,4128,4128,4038,4128,4128,4128,4128,3930
2025.10.01-11.02.52,4128,4128,4128,4128,4128,4128,4128,4128,4128,4038,4128,4128,4128,4128,4128
2025.10.13-15.54.06,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128
