Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.04.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.09.24-18.45.16,244,4,4,244,4,4,4,4,4,4,4,4,4,4,4
2025.09.25-18.22.55,244,229,230,244,230,227,231,227,225,225,228,230,227,227,227
2025.09.26-17.39.23,265,229,230,265,230,227,231,227,225,225,228,230,227,227,227
2025.09.30-14.09.46,265,244,244,265,244,244,244,244,244,225,244,244,244,244,227
2025.10.01-11.03.07,265,244,244,265,244,244,244,244,244,225,244,244,244,244,244
2025.10.02-18.21.25,261,240,240,261,240,240,240,240,240,221,240,240,240,240,240
2025.10.08-18.31.05,261,261,261,261,261,261,261,261,261,221,261,261,261,261,240
2025.10.09-14.56.36,261,261,261,261,261,261,261,261,261,221,261,261,261,261,261
2025.10.10-17.55.50,261,261,261,261,261,261,261,261,261,242,261,261,261,261,261
2025.10.16-09.24.30,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
2025.11.19-19.30.41,293,261,261,293,261,261,261,261,261,261,261,261,261,261,261
