Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.04.08-22.43.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.08.21-23.05.48,82,0,0,82,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.08.18,82,16,22,82,22,22,22,16,20,0,16,22,16,16,0
2025.09.08-18.42.20,82,16,22,82,22,22,22,16,20,71,16,22,16,16,0
2025.09.11-05.02.36,82,16,22,82,22,22,22,16,20,72,16,22,16,16,0
2025.09.14-14.00.25,82,16,22,82,22,22,22,16,20,81,16,22,16,16,0
2025.09.17-18.26.02,82,16,22,82,22,22,22,16,20,81,16,22,16,16,82
2025.09.22-18.13.32,82,16,22,82,22,22,22,16,20,82,16,22,16,16,82
2025.09.23-17.11.21,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
2025.09.24-18.46.19,4334,82,92,4334,92,92,92,92,92,82,92,92,92,92,82
2025.09.25-18.23.51,4338,3617,3714,4338,3652,3664,3700,3682,3719,3622,3693,3659,3697,3657,3820
2025.09.26-17.40.12,4329,3614,3711,4329,3649,3661,3697,3679,3716,3619,3690,3656,3694,3654,3817
2025.09.30-14.10.35,4329,4300,4300,4329,4300,4300,4300,4300,4300,3619,4300,4300,4300,4300,3817
2025.09.30-22.09.05,4346,4300,4300,4346,4300,4300,4300,4300,4300,3619,4300,4300,4300,4300,3817
2025.10.01-05.42.20,4346,4300,4300,4346,4300,4300,4300,4300,4300,3805,4300,4300,4300,4300,3817
2025.10.01-11.03.53,4363,4300,4300,4363,4300,4300,4300,4300,4300,3805,4300,4300,4300,4300,4300
2025.10.01-18.06.08,4362,4263,4263,4326,4263,4263,4263,4263,4263,3770,4263,4263,4263,4263,4263
2025.10.02-04.46.55,4362,4269,4269,4362,4269,4269,4269,4269,4269,3776,4269,4269,4269,4269,4269
2025.10.02-18.22.15,4312,4195,4195,4312,4195,4195,4195,4195,4195,3750,4195,4195,4195,4195,4195
2025.10.03-17.48.26,4364,3997,3997,4292,3997,3997,3997,3997,3997,3605,3997,3997,3997,3997,3997
2025.10.04-05.22.07,4626,3997,3997,4621,3997,3997,3997,3997,3997,3605,3997,3997,3997,3997,3997
2025.10.05-14.03.59,4626,3997,3997,4626,3997,3997,3997,3997,3997,3605,3997,3997,3997,3997,3997
2025.10.06-21.41.28,4626,3997,3997,4626,3997,3997,3997,3997,3997,3676,3997,3997,3997,3997,4068
2025.10.08-18.31.54,4626,4626,4626,4626,4626,4626,4626,4626,4626,3676,4626,4626,4626,4626,4068
2025.10.09-14.57.24,4666,4624,4624,4666,4624,4624,4624,4624,4624,3676,4624,4624,4624,4624,4624
2025.10.10-17.56.39,4666,4624,4624,4666,4624,4624,4624,4624,4624,4232,4624,4624,4624,4624,4624
2025.10.13-15.55.06,4666,4666,4666,4666,4666,4666,4666,4666,4666,4280,4666,4666,4666,4666,4666
2025.10.16-09.25.17,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666
2025.10.16-10.34.27,4666,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648
2025.10.16-18.07.49,4666,4648,4648,4666,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648
2025.10.28-18.07.21,4666,4648,4648,4666,4648,4648,4648,4648,4648,4666,4648,4648,4648,4648,4666
2025.10.29-18.18.40,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666
2025.11.19-19.31.28,4671,4666,4666,4671,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666
