Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.06.07,4602,0,0,4602,0,0,0,0,0,0,0,0,0,0,0
2025.08.22-22.57.37,4606,0,0,4606,0,0,0,0,0,0,0,0,0,0,0
2025.08.25-17.04.06,4623,0,0,4623,0,0,0,0,0,0,0,0,0,0,0
2025.08.26-05.00.58,4606,0,0,4606,0,0,0,0,0,0,0,0,0,0,0
2025.08.26-14.33.01,4623,0,0,4623,0,0,0,0,0,0,0,0,0,0,0
2025.09.03-20.26.45,4693,0,0,4693,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.08.38,4693,751,935,4693,935,933,935,751,913,186,751,935,751,751,181
2025.09.05-18.18.53,4707,750,914,4707,914,912,914,750,898,168,750,914,750,750,163
2025.09.05-18.19.00,4707,750,914,4699,914,912,914,750,898,168,750,914,750,750,163
2025.09.06-05.10.02,4707,750,914,4707,914,912,914,750,898,168,750,914,750,750,163
2025.09.08-18.42.39,4707,750,914,4707,914,912,914,750,898,962,750,914,750,750,163
2025.09.09-05.10.24,4707,750,914,4707,914,912,914,750,898,3429,750,914,750,750,163
2025.09.09-18.40.25,4723,750,914,4723,914,912,914,750,898,3429,750,914,750,750,163
2025.09.09-18.40.32,4723,750,914,4723,914,912,914,750,898,3756,750,914,750,750,163
2025.09.10-18.10.03,4723,750,914,4723,914,912,914,750,898,3827,750,914,750,750,163
2025.09.11-05.02.54,4723,750,914,4723,914,912,914,750,898,3829,750,914,750,750,163
2025.09.12-19.16.57,4725,750,914,4725,914,912,914,750,898,3829,750,914,750,750,163
2025.09.14-14.00.45,4725,750,914,4725,914,912,914,750,898,4374,750,914,750,750,163
2025.09.16-03.44.41,4725,750,914,4725,914,912,914,750,898,4382,750,914,750,750,163
2025.09.17-00.28.40,4725,750,914,4725,914,912,914,750,898,4458,750,914,750,750,163
2025.09.17-18.26.22,4725,750,914,4725,914,912,914,750,898,4464,750,914,750,750,4660
2025.09.22-18.13.52,4725,750,914,4725,914,912,914,750,898,4660,750,914,750,750,4660
2025.09.23-17.11.42,4725,4660,4660,4725,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660
2025.09.24-18.46.38,4759,4654,4654,4759,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654
2025.09.25-04.52.44,4790,4654,4654,4790,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654
2025.09.25-18.24.09,4812,4648,4648,4812,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648,4648
2025.09.26-17.40.27,4899,4640,4640,4899,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640
2025.09.30-14.10.50,4899,4768,4768,4899,4768,4768,4768,4768,4768,4640,4768,4768,4768,4768,4640
2025.10.01-05.42.33,4899,4768,4768,4899,4768,4768,4768,4768,4768,4719,4768,4768,4768,4768,4640
2025.10.01-11.04.06,4899,4768,4768,4899,4768,4768,4768,4768,4768,4719,4768,4768,4768,4768,4768
2025.10.02-18.22.30,4895,4764,4764,4895,4764,4764,4764,4764,4764,4715,4764,4764,4764,4764,4764
2025.10.03-17.48.41,4878,4741,4741,4878,4741,4741,4741,4741,4741,4701,4741,4741,4741,4741,4741
2025.10.04-05.22.20,4861,4724,4724,4861,4724,4724,4724,4724,4724,4684,4724,4724,4724,4724,4724
2025.10.06-21.41.42,4861,4724,4724,4861,4724,4724,4724,4724,4724,4717,4724,4724,4724,4724,4757
2025.10.08-18.32.09,4861,4861,4861,4861,4861,4861,4861,4861,4861,4717,4861,4861,4861,4861,4757
2025.10.09-14.57.38,4861,4861,4861,4861,4861,4861,4861,4861,4861,4717,4861,4861,4861,4861,4861
2025.10.10-17.56.53,4861,4861,4861,4861,4861,4861,4861,4861,4861,4821,4861,4861,4861,4861,4861
2025.10.13-15.55.19,4861,4861,4861,4861,4861,4861,4861,4861,4861,4838,4861,4861,4861,4861,4861
2025.10.16-09.25.31,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861
2025.10.16-10.34.41,4900,4861,4861,4900,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861,4861
2025.10.28-18.07.35,4900,4861,4861,4900,4861,4861,4861,4861,4861,4900,4861,4861,4861,4861,4900
2025.10.29-18.18.54,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
