Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.06.32,7780,0,0,7780,0,0,0,0,0,0,0,0,0,0,0
2025.08.22-22.58.01,7809,0,0,7809,0,0,0,0,0,0,0,0,0,0,0
2025.08.25-17.04.26,7819,0,0,7819,0,0,0,0,0,0,0,0,0,0,0
2025.08.26-05.01.16,7809,0,0,7809,0,0,0,0,0,0,0,0,0,0,0
2025.08.26-14.33.19,7819,0,0,7819,0,0,0,0,0,0,0,0,0,0,0
2025.09.03-20.27.05,8009,0,0,8009,0,0,0,0,0,0,0,0,0,0,0
2025.09.03-20.27.11,8009,0,0,7898,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.08.51,8009,0,0,8009,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.08.57,8009,41,41,8009,41,41,41,41,41,26,41,41,41,41,26
2025.09.05-18.19.14,8023,41,41,8023,41,41,41,41,41,26,41,41,41,41,26
2025.09.09-18.40.45,8099,41,41,8099,41,41,41,41,41,26,41,41,41,41,26
2025.09.09-18.40.51,8099,41,41,8099,41,41,41,41,41,2302,41,41,41,41,26
2025.09.10-18.10.22,8099,41,41,8099,41,41,41,41,41,4946,41,41,41,41,26
2025.09.11-05.03.10,8099,41,41,8099,41,41,41,41,41,7910,41,41,41,41,26
2025.09.12-19.17.21,8117,41,41,8117,41,41,41,41,41,7902,41,41,41,41,26
2025.09.12-19.17.27,8117,41,41,8091,41,41,41,41,41,7902,41,41,41,41,26
2025.09.13-05.14.06,8117,41,41,8117,41,41,41,41,41,7902,41,41,41,41,26
2025.09.14-14.01.02,8117,41,41,8117,41,41,41,41,41,7917,41,41,41,41,26
2025.09.17-18.26.41,8117,41,41,8117,41,41,41,41,41,7942,41,41,41,41,7942
2025.09.18-18.55.12,8117,41,41,8117,41,41,41,41,41,7958,41,41,41,41,7942
2025.09.19-00.58.35,8117,41,41,8117,41,41,41,41,41,7958,41,41,41,41,7958
2025.09.23-17.12.01,8117,7942,7942,8117,7942,7942,7942,7942,7942,7958,7942,7942,7942,7942,7958
2025.09.24-18.46.56,8368,7934,7934,8360,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934
2025.09.25-04.53.03,8386,7839,7839,8386,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839
2025.09.26-17.40.41,8700,7839,7839,8583,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839
2025.09.27-05.21.08,8700,7839,7839,8700,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839
2025.09.30-14.11.03,8700,8016,8016,8700,8016,8016,8016,8016,8016,7839,8016,8016,8016,8016,7839
2025.10.01-05.42.46,8700,8016,8016,8700,8016,8016,8016,8016,8016,7962,8016,8016,8016,8016,7839
2025.10.01-11.04.18,8700,8016,8016,8700,8016,8016,8016,8016,8016,7962,8016,8016,8016,8016,8016
2025.10.02-18.22.43,8662,7978,7978,8662,7978,7978,7978,7978,7978,7924,7978,7978,7978,7978,7978
2025.10.03-17.48.55,8545,7962,7962,8545,7962,7962,7962,7962,7962,7908,7962,7962,7962,7962,7962
2025.10.06-21.41.56,8545,7962,7962,8545,7962,7962,7962,7962,7962,7924,7962,7962,7962,7962,7978
2025.10.08-18.32.22,8545,8545,8545,8545,8545,8545,8545,8545,8545,7924,8545,8545,8545,8545,7978
2025.10.09-14.57.52,8545,8545,8545,8545,8545,8545,8545,8545,8545,7924,8545,8545,8545,8545,8545
2025.10.10-17.57.07,8545,8545,8545,8545,8545,8545,8545,8545,8545,8491,8545,8545,8545,8545,8545
2025.10.16-09.25.44,8545,8545,8545,8545,8545,8545,8545,8545,8545,8545,8545,8545,8545,8545,8545
2025.10.16-10.34.53,8808,8539,8539,8796,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539
2025.10.16-18.08.16,8808,8539,8539,8808,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539,8539
2025.10.28-18.07.49,8808,8539,8539,8808,8539,8539,8539,8539,8539,8808,8539,8539,8539,8539,8808
2025.10.29-18.19.07,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808
