Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.07.13,399,0,0,399,0,0,0,0,0,0,0,0,0,0,0
2025.09.03-20.27.45,440,0,0,440,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.09.36,440,49,52,440,52,52,52,49,52,25,49,52,49,49,17
2025.09.05-18.19.54,399,43,44,399,44,44,44,43,44,25,43,44,43,43,17
2025.09.06-05.11.00,440,43,44,440,44,44,44,43,44,25,43,44,43,43,17
2025.09.07-05.07.44,440,49,52,440,52,52,52,49,52,25,49,52,49,49,17
2025.09.11-05.03.44,440,49,52,440,52,52,52,49,52,398,49,52,49,49,17
2025.09.14-14.01.38,440,49,52,440,52,52,52,49,52,419,49,52,49,49,17
2025.09.17-18.27.20,440,49,52,440,52,52,52,49,52,419,49,52,49,49,440
2025.09.18-18.55.48,440,49,52,440,52,52,52,49,52,423,49,52,49,49,440
2025.09.22-18.14.51,440,49,52,440,52,52,52,49,52,431,49,52,49,49,440
2025.09.23-17.12.41,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
2025.09.24-18.47.35,422,399,399,422,399,399,399,399,399,399,399,399,399,399,399
2025.09.25-04.53.41,441,399,399,441,399,399,399,399,399,399,399,399,399,399,399
2025.09.25-18.24.58,441,422,422,441,422,422,422,422,422,422,422,422,422,422,422
2025.09.26-17.41.11,446,422,422,446,422,422,422,422,422,422,422,422,422,422,422
2025.09.30-14.11.33,446,437,437,446,437,437,437,437,437,422,437,437,437,437,422
2025.10.01-05.43.14,446,437,437,446,437,437,437,437,437,432,437,437,437,437,422
2025.10.01-11.04.45,446,437,437,446,437,437,437,437,437,432,437,437,437,437,437
2025.10.02-18.23.13,444,435,435,444,435,435,435,435,435,430,435,435,435,435,435
2025.10.03-17.49.25,439,426,426,439,426,426,426,426,426,423,426,426,426,426,426
2025.10.08-18.32.52,439,439,439,439,439,439,439,439,439,423,439,439,439,439,426
2025.10.09-14.58.21,439,439,439,439,439,439,439,439,439,423,439,439,439,439,439
2025.10.10-17.57.36,439,439,439,439,439,439,439,439,439,436,439,439,439,439,439
2025.10.13-15.55.58,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
2025.10.14-17.56.27,441,434,434,441,434,434,434,434,434,434,434,434,434,434,434
2025.10.16-09.26.13,441,434,434,441,434,434,434,434,434,434,434,434,434,434,441
2025.10.17-18.18.42,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441
