Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.07.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025.09.24-18.48.31,311,0,0,311,0,0,0,0,0,0,0,0,0,0,0
2025.09.25-18.25.33,311,250,262,311,265,243,258,255,251,222,266,247,259,253,219
2025.09.30-14.12.02,311,311,311,311,311,311,311,311,311,222,311,311,311,311,219
2025.10.01-11.05.12,311,311,311,311,311,311,311,311,311,222,311,311,311,311,311
2025.10.02-18.23.43,314,308,308,314,308,308,308,308,308,219,308,308,308,308,308
2025.10.08-18.33.22,314,314,314,314,314,314,314,314,314,219,314,314,314,314,308
2025.10.09-14.58.49,314,314,314,314,314,314,314,314,314,219,314,314,314,314,314
2025.10.10-17.58.05,314,314,314,314,314,314,314,314,314,225,314,314,314,314,314
2025.10.16-09.26.41,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
