Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.08.40,399,0,0,399,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.10.50,399,1,1,399,1,1,1,1,1,0,1,1,1,1,0
2025.09.11-05.04.49,399,1,1,399,1,1,1,1,1,382,1,1,1,1,0
2025.09.14-14.02.48,399,1,1,399,1,1,1,1,1,383,1,1,1,1,0
2025.09.17-18.28.34,399,1,1,399,1,1,1,1,1,383,1,1,1,1,399
2025.09.22-18.16.06,399,1,1,399,1,1,1,1,1,399,1,1,1,1,399
2025.09.23-17.13.56,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399
2025.09.24-18.49.07,514,399,399,514,399,399,399,399,399,399,399,399,399,399,399
2025.09.30-14.12.29,514,514,514,514,514,514,514,514,514,399,514,514,514,514,399
2025.10.01-05.44.06,514,514,514,514,514,514,514,514,514,474,514,514,514,514,399
2025.10.01-11.05.37,514,514,514,514,514,514,514,514,514,474,514,514,514,514,514
2025.10.13-15.56.48,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514
