Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2025.08.21-23.09.47,1829,0,0,1829,0,0,0,0,0,0,0,0,0,0,0
2025.09.04-05.11.47,1829,1829,1829,1829,1829,1829,1829,1829,1829,1507,1829,1829,1829,1829,1806
2025.09.10-18.13.15,1829,1829,1829,1829,1829,1829,1829,1829,1829,1543,1829,1829,1829,1829,1806
2025.09.11-05.05.39,1829,1829,1829,1829,1829,1829,1829,1829,1829,1550,1829,1829,1829,1829,1806
2025.09.11-18.44.16,1829,1829,1829,1829,1829,1829,1829,1829,1829,1657,1829,1829,1829,1829,1806
2025.09.14-14.03.42,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1806
2025.09.17-18.29.31,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829
2025.09.24-18.50.03,1829,1824,1824,1829,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824
2025.09.30-14.13.12,1829,1829,1829,1829,1829,1829,1829,1829,1829,1824,1829,1829,1829,1829,1824
2025.10.01-11.06.16,1829,1829,1829,1829,1829,1829,1829,1829,1829,1824,1829,1829,1829,1829,1829
2025.10.04-05.24.32,1844,1829,1829,1844,1829,1829,1829,1829,1829,1824,1829,1829,1829,1829,1829
2025.10.08-18.34.32,1844,1844,1844,1844,1844,1844,1844,1844,1844,1824,1844,1844,1844,1844,1829
2025.10.09-14.59.58,1844,1844,1844,1844,1844,1844,1844,1844,1844,1824,1844,1844,1844,1844,1844
2025.10.10-17.59.14,1844,1844,1844,1844,1844,1844,1844,1844,1844,1839,1844,1844,1844,1844,1844
2025.10.16-09.27.48,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844
